,_sa_instance_state,text,datetime,tweet_id,username,id
2574,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5ac0>,@ArdoyantoE @fadroel #Jokowi3Peripde #Jokowi3Periode #Jokowi3Periode . Mantap. Ape lho,27/11/2022,1596903428776923137,Tery44117487,2575
2575,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5b20>,"@Tan_Mar3M @AndiSinulingga Relawannya nanti di 2024 buat milih Presiden yang meneruskan Program Jokowi. Kan gak ada larangan, kalau punya relawan Jokowi gak akan 3 periode, dia patuh UUD",27/11/2022,1596902538829529090,AsliLanang2,2576
2576,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5b80>,"@nenni_achir1 @keuangannews_id Teriak jokowi 3 perode juga kami biasa aja, yg ga biasa itu teriak Pancasila harga mati tapi teriak juga jokowi 3 periode, dengan kata lain dukung pancasila tapi menolak esensi pancasila.",27/11/2022,1596900735483928577,dedifrozenfood,2577
2577,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5be0>,"Teriak2 anti khilafah, tapi dukung jokowi 3 periode? Aneh!😄",27/11/2022,1596899314181120001,14LimaTiga,2578
2578,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5c40>,"@tifsembiring Oh jelas aja, saya sih ga malu jokowi 3 periode..!",27/11/2022,1596894949366444035,ronysihotang1,2579
2579,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5ca0>,@seruanhl Buat apa lagi brooo ?   Ngarep apa lagintuh relawan ?  Ngarep apa lagi @jokowi   3 Periode   Apa mau dirikan Partai Relawan Jokowi   Duit siapa ngumpulin manusia sebanyak itu ? Gak sedikit paling tdk 50 sampai 100 M  Mba puan mau apa lagi tuh petugas nya ? @puanmaharani_ri,27/11/2022,1596892493165252609,iwantarigan,2580
2580,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5d00>,"@tifsembiring Tak kira in Presidennya yg teriak presiden 3 periode,.... Kalo yg teriak pendukung Jokowi itu si ngga masalah.... Bingung jadinya orang ini koq bisa ya jadi anggota DPR. Tapi emang sih anggota DPR kaga sekolah si ngga masalah 😀😀😀",27/11/2022,1596890993743101953,HerUsing,2581
2581,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5d60>,"@inilahdotcom @jokowi @love_gbk Pantesan ngotot 3 periode,biar dpt fulus",27/11/2022,1596889784534061056,khalidz_akbar,2582
2582,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5dc0>,"Makin seru nih... @jokowi vs @PDI_Perjuangan ... signal pak Jokowi untuk 3 Periode atau pilih yg rambut putih, rambut putih artinya pilih pak @ganjarpranowo",27/11/2022,1596888015812820994,Hadisuprapto01,2583
2583,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5e20>,"Kami menolak 3 periode.  @jokowi sebagai penikmat demokrasi berhentilah merusak demokrasi yg telah di perjuangakan dg susah payah.  Jika terus, maka kami melawan.",27/11/2022,1596886477744779266,harlansmfachra,2584
2584,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5e80>,Kumpul Relawan Jokowi Secara Terang Benderang Gaungkan 3 Periode: Pesannya Clear! https://t.co/eAW6Fx50ke,27/11/2022,1596885650485448706,BeritakanID_com,2585
2585,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5ee0>,@BennyHarmanID Lilahi Ta'ala...doain dong Ben Biar Pak Jokowi bisa 3 Periode Khan nanti kamu masuk RSJ iya ga ..Coy..🤣🤣,27/11/2022,1596884089893552128,tukangaduayam,2586
