,_sa_instance_state,datetime,text,tweet_id,id,username
1853,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0ac0>,09/12/2022,"@VIVAcoid 73% rakyat  percaya kinerja Presiden Jokowi dan kabinetnya. . . barisan sakit hati tidak terima wacana 3 periode, bahkan menghendaki Jokowi lengser sebelum akhir jabatannya. Ente dah kesurupan , Drun. https://t.co/V4ubvUowE0",1601199518787448832,1854,andrewdiangelo
1854,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0b20>,09/12/2022,"@OposisiCerdas 73% rakyat  percaya kinerja Presiden Jokowi dan kabinetnya. . . barisan sakit hati tidak terima wacana 3 periode, bahkan menghendaki Jokowi lengser sebelum akhir jabatannya. Ente dah kesurupan , Drun. https://t.co/sLGwpNqSHM",1601198921606656000,1855,andrewdiangelo
1855,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0b80>,09/12/2022,@msaid_didu @jokowi @LaNyallaMM1 @bambangsoesatyo Asiikk... Pak.Jokowi bisa 3 -4 periode..yes..! Yes--!!,1601198112558964736,1856,butramisty
1856,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0be0>,09/12/2022,Langkah DPD RI ini bisa jadi jalan pemulusan upaya Presiden Jokowi untuk maju 3 periode (atau lebih) karena di UUD 1945 asli tidak ada pembatasan berapa kali presiden menjabat. Hati-hati terhadap manuver La Nyalla. Sebatas pengetahuan saya beliau orangnya Jokowi.,1601195432780201984,1857,arwidodo
1857,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0c40>,09/12/2022,@BennyHarmanID Saya sebagai rakyat mau Jokowi 3 periode.,1601192914939711494,1858,KsatriaNKRI
1858,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0ca0>,09/12/2022,"@Amruamum @Miduk17 Oh, kalo untuk Pak Jokowi apa saja dimata si duki boleh saja bahkan kalo perlu 3 periode yg dilarang UU pun juga boleh",1601188708132134912,1859,Imrajula2
1859,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0d00>,09/12/2022,"@PDemokrat walaupun bukan pak jokowi yg ngomong ttg perpanjangan masa jabatan, ttg 3 periode, tetap pak jokowi yang salah, benarkan ?",1601186974484029440,1860,alfredsangian
1860,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0d60>,09/12/2022,"@giginpraginanto banyak yg mau jokowi mundur tu g salah,sah sah ja,tpi knpa g boleh lanjut 3 periode???🙄🙄🙄",1601186296831279104,1861,SekringP
1861,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0dc0>,09/12/2022,"@aldjono @Gunto_Jaya9 @mkusumawijaya @mojokdotco @jokowi @kaesangp Emangnya kenapa, kan ga boleh undang lebih dari 400. Itu aturan yg buat dia sendiri yg ngelanggar dia sendiri. Mau 3 periode lagi",1601184228896829442,1862,GantengJonru
1862,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0e20>,09/12/2022,Baru ngerti sekarang....knp berita spt ini sering kali di tampilkan....kemungkinan besar utk mempengaruhi fikiran masyarakat utk mendukung Jokowi 3 periode.,1601183730684465153,1863,Iyal90431410
